SpecCode,Genus,Species,,,Sex,tm (y),AgeMatMin,AgeMatMax,Locality,Country,Comment
319,Boreogadus,saida,Boreogadus saida,2233,male,,2,3,Beaufort Sea,Alaska,Similar to those reported for the northwest Atlantic and Soviet stocks.
319,Boreogadus,saida,Boreogadus saida,2233,unsexed,,2,3,Western Bering Sea,Russian Fed,
319,Boreogadus,saida,Boreogadus saida,2233,unsexed,,4,5,Cheshskaya Bay (White Sea),Former USSR,
3555,Brama,japonica,Brama japonica,#N/A,mixed,4,,,"Northwest, central and northeast Pacific.",,
3555,Brama,japonica,Brama japonica,#N/A,mixed,4,,,North Pacific,,High sea
4593,Branchiostegus,japonicus,Branchiostegus japonicus,#N/A,unsexed,,2,3,Pacific coast,Japan,
1592,Brevoortia,tyrannus,Brevoortia tyrannus,2094,unsexed,,1,3,Mid-Atlantic Bight,USA,
51,Brosme,brosme,Brosme brosme,2217,unsexed,,8,10,UK Scotland,UK Scotland,Same for Iceland.
53,Buglossidium,luteum,Buglossidium luteum,#N/A,female,3,,,"Douarnenez Bay, Brittany",France,
1221,Calamus,bajonado,Calamus bajonado,#N/A,male,3,,,Campeche Bank,Mexico,
167,Callorhinchus,capensis,Callorhinchus capensis,2874,female,4.199999809,,,South-western Cape,South Africa,
167,Callorhinchus,capensis,Callorhinchus capensis,2874,male,3.299999952,,,South-western Cape,South Africa,
4722,Callorhinchus,milii,Callorhinchus milii,11064,female,,4,6,Pegasus Bay and Canterbury Bight,New Zealand,
4722,Callorhinchus,milii,Callorhinchus milii,11064,male,,2,4,Pegasus Bay and Canterbury Bight,New Zealand,
1918,Carangoides,ruber,Carangoides ruber,#N/A,female,3,,,Southwest region,Cuba,
1895,Caranx,ignobilis,Caranx ignobilis,11112,female,3.5,,,Northwestern Islands,Hawaii,
1899,Caranx,rhonchus,Caranx rhonchus,2317,mixed,2,,,Senegal,Senegal,
1906,Caranx,melampygus,Caranx melampygus,11115,female,2,,,Northwestern Islands,Hawaii,
857,Carcharhinus,acronotus,Carcharhinus acronotus,#N/A,female,,3,4,Northwestern Atlantic,,
857,Carcharhinus,acronotus,Carcharhinus acronotus,#N/A,female,3,2,,Eastern Gulf of Mexico,,
857,Carcharhinus,acronotus,Carcharhinus acronotus,#N/A,male,2.5,2,,Eastern Gulf of Mexico,,
857,Carcharhinus,acronotus,Carcharhinus acronotus,#N/A,male,3,,,Northwestern Atlantic,,
861,Carcharhinus,amblyrhynchos,Carcharhinus amblyrhynchos,#N/A,female,7,,,Not specified.,Hawaii,
864,Carcharhinus,brachyurus,Carcharhinus brachyurus,2022,female,,19,20,off South African waters,South Africa,
864,Carcharhinus,brachyurus,Carcharhinus brachyurus,2022,female,19.5,,,Southwestern Indian Ocean (1),,
864,Carcharhinus,brachyurus,Carcharhinus brachyurus,2022,male,,13,19,off South African waters,South Africa,
864,Carcharhinus,brachyurus,Carcharhinus brachyurus,2022,male,16,,,Southwestern Indian Ocean (1),,
864,Carcharhinus,brachyurus,Carcharhinus brachyurus,2022,unsexed,,5,12,off South African waters,South Africa,
868,Carcharhinus,falciformis,Carcharhinus falciformis,2021,female,8,7,9,"Northwestern Gulf of Mexico, 1982-85",USA,Mature at >225 cm TL. The length (Lm) and age (Tm) at 50% maturity taken from Ref. 52191 have been estimated from data in Ref. 6084.
868,Carcharhinus,falciformis,Carcharhinus falciformis,2021,female,12,,,"Campeche Bank, Yucatan",Mexico,
868,Carcharhinus,falciformis,Carcharhinus falciformis,2021,male,,6,7,"Northwestern Gulf of Mexico, 1982-85",USA,
870,Carcharhinus,galapagensis,Carcharhinus galapagensis,#N/A,female,,6.5,9,Not specified.,Hawaii,
